CMS Certification Number (CCN),Facility Name,Address Line 1,Address Line 2,City,State,Zip Code,County Name,PhoneNumber,CMS Region,Condition,Count,Footnote,Location,GeoLocation
24T057,ABBOTT NORTHWESTERN HOSPITAL,800 E 28TH ST,,MINNEAPOLIS,MN,55407,Hennepin,(612) 863-0881,5,All other conditions,52,,"800 E 28TH ST MINNEAPOLIS, MN 55407 (44.951954, -93.262248)","(46.35564873600049, -94.79420050299967)"
25T078,FORREST GENERAL HOSPITAL,PO BOX 16389,,HATTIESBURG,MS,39404,Forrest,(601) 288-3862,4,Hip or femur fracture,25,,,"(32.745510099000455, -89.53803082499968)"
26T062,ST LUKES NORTHLAND HOSPITAL,601 SOUTH 169 HIGHWAY,,SMITHVILLE,MO,64089,Clay,(816) 532-7360,7,"Hip or knee replacement, amputation or other bone or joint condition",13,,,"(38.635790776000476, -92.56630005299968)"
27T087,HEALTH CENTER NORTHWEST LLC,320 SUNNYVIEW LANE,,KALISPELL,MT,59901,Flathead,(406) 756-4724,8,All other conditions,13,,"320 SUNNYVIEW LANE KALISPELL, MT 59901 (48.216208, -114.324047)","(47.06652897200047, -109.42442064499971)"
28T081,IMMANUEL REHABILITATION INSTITUTE,6901 NORTH 72ND,,OMAHA,NE,68122,Douglas,(402) 572-3989,7,Hip or femur fracture,40,,"6901 NORTH 72ND OMAHA, NE 68122 (41.321839, -96.023788)","(41.6410409880005, -99.36572062299967)"
29T009,ST MARY'S REGIONAL MEDICAL CTR,235 WEST SIXTH STREET,,RENO,NV,89503,Washoe,(775) 770-3000,9,Brain injury (traumatic),Not Available,2,"235 WEST SIXTH STREET RENO, NV 89503 (39.531619, -119.818243)","(39.493240390000494, -117.07184056399967)"
29T021,VALLEY HOSP MED CTR REHAB,620 SHADOW LANE,,LAS VEGAS,NV,89106,Clark,(702) 388-7809,9,Stroke,36,,"620 SHADOW LANE LAS VEGAS, NV 89106 (36.163914, -115.165463)","(39.493240390000494, -117.07184056399967)"
31T010,PENN MEDICINE PRINCETON MEDICAL CENTER,ONE PLAINSBORO RD.,,PLAINSBORO,NJ,8536,Mercer,(609) 853-7922,2,All other conditions,17,,,"(40.13057004800049, -74.27369128799967)"
32T065,LEA REGIONAL MEDICAL CENTER,5419 N LOVINGTON HWY,,HOBBS,NM,88240,Lea,(505) 492-5474,6,Stroke,Not Available,2,"5419 N LOVINGTON HWY HOBBS, NM 88240 (32.765988, -103.186034)","(34.52088095200048, -106.24058098499967)"
34T047,NORTH CAROLINA BAPTIST HOSPITALS,MEDICAL CENTER BLVD,,WINSTON SALEM,NC,27157,Forsyth,(336) 713-8328,4,All other conditions,45,,,"(35.466220975000454, -79.15925046299964)"
36T036,WOOSTER COMMUNITY HOSPITAL,1761 BEALL AVE,,WOOSTER,OH,44691,Wayne,(330) 263-8137,5,Nervous system disorder (excluding stroke),less than 11,1,"1761 BEALL AVE WOOSTER, OH 44691 (40.820713, -81.934247)","(40.06021014100048, -82.40426005599966)"
36T098,LAKE HOSPITAL SYSTEM,10977 CAPITAL PARKWAY,,CONCORD,OH,44077,Lake,(440) 953-6251,5,Stroke,76,,"10977 CAPITAL PARKWAY CONCORD, OH 44077 (41.657915, -81.245255)","(40.06021014100048, -82.40426005599966)"
37T034,MCALESTER REGIONAL HEALTH CENTER,ONE CLARK BASS BLVD.,,MCALESTER,OK,74501,Pittsburg,(918) 421-8123,6,Stroke,27,,,"(35.47203135600046, -97.52107021399968)"
393054,LANCASTER REHABILITATION HOSPITAL,675 GOOD DRIVE,,LANCASTER,PA,17604,Lancaster,(717) 544-4819,3,All other conditions,222,,"675 GOOD DRIVE LANCASTER, PA 17604 (40.063067, -76.35098)","(40.79373015200048, -77.86070029399963)"
39T013,EVANGELICAL COMMUNITY HOSPITAL,ONE HOSPITAL DRIVE,,LEWISBURG,PA,17837,Union,(570) 522-2000,3,Stroke,27,,,"(40.79373015200048, -77.86070029399963)"
39T066,THE GOOD SAMARITAN HOSPITAL,4TH AND WALNUT STREETS,,LEBANON,PA,17042,Lebanon,(717) 270-7500,3,Hip or femur fracture,29,,"4TH AND WALNUT STREETS LEBANON, PA 17042 (40.146353, -77.128598)","(40.79373015200048, -77.86070029399963)"
39T093,THE REHAB CTR @ CLARION HOSP,ONE HOSPITAL DR,,CLARION,PA,16214,Clarion,(814) 226-9500,3,All other conditions,less than 11,1,,"(40.79373015200048, -77.86070029399963)"
39T127,REGIONAL REHAB CENTER,140 NUTT RD,,PHOENIXVILLE,PA,19460,Chester,(610) 983-1440,3,Stroke,92,,"140 NUTT RD PHOENIXVILLE, PA 19460 (40.133387, -75.538053)","(40.79373015200048, -77.86070029399963)"
423029,ANMED HEALTHSOUTH REHABILITATION HOSPITAL,1 SPRINGBACK WAY,,ANDERSON,SC,29621,Anderson,(864) 716-2600,4,Stroke,164,,"1 SPRINGBACK WAY ANDERSON, SC 29621 (34.537882, -82.628748)","(33.998821303000454, -81.04537120699968)"
453025,TIRR MEMORIAL HERMANN,1333 MOURSUND AVE,,HOUSTON,TX,77030,Harris,(713) 799-7022,6,Stroke,268,,"1333 MOURSUND AVE HOUSTON, TX 77030 (29.708326, -95.394246)","(31.827240407000488, -99.42677020599967)"
453057,HEALTHSOUTH REHABILITATION OF MIDLAND ODESSA,1800 HERITAGE BOULEVARD,,MIDLAND,TX,79707,Midland,(915) 520-1600,6,Hip or femur fracture,118,,"1800 HERITAGE BOULEVARD MIDLAND, TX 79707 (31.999202, -102.157005)","(31.827240407000488, -99.42677020599967)"
45T352,HUNT MEMORIAL HOSPITAL DISTRIC,4215 JOE RAMSEY BLVD,,GREENVILLE,TX,75401,Hunt,(903) 408-1740,6,Hip or femur fracture,62,,,"(31.827240407000488, -99.42677020599967)"
45T869,DOCTORS HOSPITAL AT RENAISSANCE,5501 S. MCCOLL,,EDINBURG,TX,78539,Hidalgo,(956) 362-6607,6,Stroke,137,,"5501 S. MCCOLL EDINBURG, TX 78539 (26.252424, -98.204109)","(31.827240407000488, -99.42677020599967)"
46T001,UTAH VALLEY HOSPITAL,1034 NORTH 500 WEST,,PROVO,UT,84604,Utah,(801) 357-7765,8,All other conditions,12,,"1034 NORTH 500 WEST PROVO, UT 84604 (40.248084, -111.667383)","(39.360700171000474, -111.58713063499971)"
50T001,NORTHWEST HOSPITAL CENTER,1550 N 115TH ST,,SEATTLE,WA,98133,King,(206) 368-1794,10,Hip or femur fracture,Not Available,2,"1550 N 115TH ST SEATTLE, WA 98133 (47.712263, -122.335936)","(47.52227862900048, -120.47001078999972)"
52T193,AURORA BAYCARE MEDICAL CENTER,PO 8900,,GREEN BAY,WI,54308,Brown,(920) 288-8000,5,Brain injury (traumatic),Not Available,2,,"(44.39319117400049, -89.81637074199966)"
10T288,ST MARY'S WEST PALM BEACH,ST. MARY'S MEDICAL CENTER,901 45TH STREET,WEST PALM BEACH,FL,33407,Miami-Dade,(561) 841-9409,4,Brain injury (traumatic),18,,,"(28.932040377000476, -81.92896053899966)"
453072,UT HEALTH EAST TEXAS REHABILITATION HOSPITAL,701 OLYMPIC PLAZA CIRCLE,,TYLER,TX,75701,Smith,(903) 596-3000,6,Brain injury (traumatic),26,,"701 OLYMPIC PLAZA CIRCLE TYLER, TX 75701 (32.337433, -95.291751)","(31.827240407000488, -99.42677020599967)"
53034,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,14851 YORBA STREET,,TUSTIN,CA,92780,Orange,(714) 832-9200,9,Hip or femur fracture,70,,"14851 YORBA STREET TUSTIN, CA 92780 (33.747565, -117.830216)","(37.63864012300047, -120.99999953799971)"
05T126,VALLEY PRESBYTERIAN HOSPITAL REHABILITATION CENTER,15107 VANOWEN STREET,,VAN NUYS,CA,91405,Los Angeles,(502) 596-6346,9,Nervous system disorder (excluding stroke),28,,"15107 VANOWEN STREET VAN NUYS, CA 91405 (34.193917, -118.463271)","(37.63864012300047, -120.99999953799971)"
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,4,Hip or femur fracture,55,,"50 MEDICAL PARK EAST DRIVE BIRMINGHAM, AL 35235 (33.595351, -86.665182)","(32.84057112200048, -86.63186076199969)"
33T027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,,EAST MEADOW,NY,11554,Nassau,(516) 572-6713,2,Spinal cord injury (traumatic),Not Available,2,"2201 HEMPSTEAD TURNPIKE EAST MEADOW, NY 11554 (40.725298, -73.554413)","(42.82700103200045, -75.54397042699964)"
39T028,UPMC MERCY,1400 LOCUST STREET,,PITTSBURGH,PA,15219,Allegheny,(412) 443-4180,3,Spinal cord disease or condition (non-traumatic),111,,"1400 LOCUST STREET PITTSBURGH, PA 15219 (40.436831, -79.985623)","(40.79373015200048, -77.86070029399963)"
323026,NEW MEXICO REHABILITATION CENTER,72 GAIL HARRIS AVENUE,,ROSWELL,NM,88203,Chaves,(575) 347-3400,6,"Hip or knee replacement, amputation or other bone or joint condition",47,,"72 GAIL HARRIS AVENUE ROSWELL, NM 88203 (33.309162, -104.522421)","(34.52088095200048, -106.24058098499967)"
52T009,ASCENSION- MERCY HOSPITAL,500 SOUTH OAKWOOD ROAD,,OSHKOSH,WI,54904,Outagamie,(920) 223-1200,5,Brain disease or condition (non-traumatic),less than 11,1,"500 SOUTH OAKWOOD ROAD OSHKOSH, WI 54904 (44.013049, -88.603055)","(44.39319117400049, -89.81637074199966)"
113030,"WALTON REHAB HOSPITAL, AFFILIATE OF ENCOMPASS HLTH",1355 INDEPENDENCE DRIVE,,AUGUSTA,GA,30901,Richmond,(706) 724-7746,4,Brain injury (traumatic),30,,"1355 INDEPENDENCE DRIVE AUGUSTA, GA 30901 (33.474595, -81.979998)","(32.83968109300048, -83.62758034599966)"
42T078,PRISMA HEALTH ROGER C. PEACE REHABILITATION HOSPIT,701 GROVE ROAD,,GREENVILLE,SC,29605,Greenville,(864) 455-3779,4,"Hip or knee replacement, amputation or other bone or joint condition",32,,"701 GROVE ROAD GREENVILLE, SC 29605 (34.821617, -82.41359)","(33.998821303000454, -81.04537120699968)"
15T010,ST VINCENT KOKOMO HOSPITAL HEALTH CENTER,1907 SYCAMORE STREET,,KOKOMO,IN,46901,Howard,(765) 456-5210,5,Hip or femur fracture,26,,"1907 SYCAMORE STREET KOKOMO, IN 46901 (40.49044, -86.1043)","(39.766910452000445, -86.14996019399968)"
453048,PAM REHABILITATION HOSPITAL OF BEAUMONT,3340 PLAZA 10 DRIVE,,BEAUMONT,TX,77707,Jefferson,(409) 835-0835,6,Spinal cord disease or condition (non-traumatic),less than 11,1,"3340 PLAZA 10 DRIVE BEAUMONT, TX 77707 (30.078207, -94.137134)","(31.827240407000488, -99.42677020599967)"
29T039,MOUNTAINVIEW HOSPITAL,3100 N TENAYA WAY,,LAS VEGAS,NV,89128,Clark,(702) 562-5560,9,Nervous system disorder (excluding stroke),236,,"3100 N TENAYA WAY LAS VEGAS, NV 89128 (36.2156, -115.250795)","(39.493240390000494, -117.07184056399967)"
05T603,SADDLEBACK MEMORIAL MEDICAL CENTER,24451 HEALTH CENTER DRIVE,,LAGUNA HILLS,CA,92653,Orange,(949) 452-7025,9,All other conditions,Not Available,2,"24451 HEALTH CENTER DRIVE LAGUNA HILLS, CA 92653 (33.607762, -117.708258)","(37.63864012300047, -120.99999953799971)"
83026,ENCOMPASS HEALTH REHAB HOSPITAL OF MIDDLETOWN,250 EAST HAMPDEN ROAD,,MIDDLETOWN,DE,19709,New Castle,(302) 464-3400,3,Stroke,224,,,"(39.008830667000495, -75.57774116799965)"
30T034,CATHOLIC MEDICAL CENTER,100 MCGREGOR STREET,,MANCHESTER,NH,3102,Hillsboro,(603) 663-2042,1,Nervous system disorder (excluding stroke),37,,"100 MCGREGOR STREET MANCHESTER, NH 03102 (42.991211, -71.47379)","(43.65595011300047, -71.50036091999965)"
323029,SAN JUAN REGIONAL REHABILITATION HOSPITAL INC,525 SOUTH SCHWARTZ AVENUE,,FARMINGTON,NM,87401,San Juan,(505) 609-2625,6,"Hip or knee replacement, amputation or other bone or joint condition",18,,"525 SOUTH SCHWARTZ AVENUE FARMINGTON, NM 87401 (36.725181, -108.215175)","(34.52088095200048, -106.24058098499967)"
05T239,ADVENTIST HEALTH - GLENDALE,1509 WILSON TERRACE,,GLENDALE,CA,91206,Los Angeles,(818) 409-8071,9,Nervous system disorder (excluding stroke),28,,"1509 WILSON TERRACE GLENDALE, CA 91206 (34.149161, -118.230354)","(37.63864012300047, -120.99999953799971)"
52T066,MERCY HEALTH SYSTEM CORP,1000 MINERAL POINT AVE,,JANESVILLE,WI,53548,Rock,(608) 756-6845,5,Nervous system disorder (excluding stroke),less than 11,1,"1000 MINERAL POINT AVE JANESVILLE, WI 53548 (42.686744, -89.032725)","(44.39319117400049, -89.81637074199966)"
14T208,ADVOCATE CHRIST MEDICAL CENTER,ADVOCATE CHRIST MEDICAL CENTER,4440 WEST 95TH STREET,OAK LAWN,IL,60453,Cook,(708) 684-2000,5,Spinal cord injury (traumatic),less than 11,1,,"(40.48501028300046, -88.99771017799969)"
393053,PENN STATE HEALTH REHABILITATION HOSPITAL,1135 OLD WEST CHOCOLATE AVE,,HUMMELSTOWN,PA,17036,Dauphin,(717) 832-2600,3,Spinal cord injury (traumatic),21,,"1135 OLD WEST CHOCOLATE AVE HUMMELSTOWN, PA 17036 (40.269879, -76.681681)","(40.79373015200048, -77.86070029399963)"
52T087,GUNDERSEN LUTHERAN MEDICAL CENTER INC,1900 SOUTH AVENUE,,LA CROSSE,WI,54601,La Crosse,(608) 775-3064,5,All other conditions,72,,"1900 SOUTH AVENUE LA CROSSE, WI 54601 (43.795248, -91.247048)","(44.39319117400049, -89.81637074199966)"
45T651,MEDICAL CENTER OF PLANO,1620 COIT ROAD,INPATIENT REHAB - BUILDING 2,PLANO,TX,75075,Collin,(214) 473-7718,6,Spinal cord injury (traumatic),less than 11,1,"1620 COIT ROAD PLANO, TX 75075 (33.021411, -96.768256)","(31.827240407000488, -99.42677020599967)"
14T065,ADVENTIST LA GRANGE MEMORIAL HOSPITAL,5101 WILLOW SPRINGS RD,,LA GRANGE,IL,60525,Cook,(708) 245-6521,5,Brain disease or condition (non-traumatic),45,,"5101 WILLOW SPRINGS RD LA GRANGE, IL 60525 (41.797382, -87.888407)","(40.48501028300046, -88.99771017799969)"
17T016,UKHS-ST. FRANCIS CAMPUS,1700 SW 7TH ST,,TOPEKA,KS,66606,Shawnee,(785) 295-5454,7,Brain disease or condition (non-traumatic),11,,"1700 SW 7TH ST TOPEKA, KS 66606 (39.056107, -95.696692)","(38.34774030000045, -98.20078122699965)"
33T259,MERCY MEDICAL CENTER,1000 N.VILLAGE AVE.,,ROCKVILLE CENTRE,NY,11570,Nassau,(516) 705-2216,2,Nervous system disorder (excluding stroke),73,,"1000 N.VILLAGE AVE. ROCKVILLE CENTRE, NY 11570 (40.688191, -73.633236)","(42.82700103200045, -75.54397042699964)"
193097,COVINGTON - A M G PHYSICAL REHABILITATION HOSPITAL,5025 KEYSTONE BLVDSUITE 200,,COVINGTON,LA,70433,St. Tammany,(985) 888-0301,6,Brain injury (traumatic),13,,,"(31.31266064400046, -92.44568007099969)"
20T039,THE PHYSICAL REHAB UNIT,35 MEDICAL CENTER PARKWAY,TERRACE LEVEL,AUGUSTA,ME,4330,Kennebec,(207) 248-0042,1,Brain injury (traumatic),13,,"35 MEDICAL CENTER PARKWAY AUGUSTA, ME 04330 (44.360853, -69.785718)","(45.254228894000505, -68.98503133599962)"
06T119,MEDICAL CENTER OF THE ROCKIES,2500 ROCKY MOUNTAIN AVE,,LOVELAND,CO,80538,Larimer,(970) 624-5324,8,Brain disease or condition (non-traumatic),less than 11,1,"2500 ROCKY MOUNTAIN AVE LOVELAND, CO 80538 (40.415194, -105.001451)","(38.843840757000464, -106.13361092099967)"
453086,HIGHLANDS  REHABILITATION HOSPITAL,1395 GEORGE DIETER DRIVE,,EL PASO,TX,79936,El Paso,(915) 298-7222,6,Spinal cord injury (traumatic),less than 11,1,"1395 GEORGE DIETER DRIVE EL PASO, TX 79936 (31.732529, -106.301709)","(31.827240407000488, -99.42677020599967)"
06T015,CENTURA HEALTH-ST. ANTHONY HOSPITAL,11600 W 2ND PLACE,,LAKEWOOD,CO,80228,Denver,(720) 321-7321,8,"Hip or knee replacement, amputation or other bone or joint condition",69,,"11600 W 2ND PLACE LAKEWOOD, CO 80228 (39.717956, -105.127494)","(38.843840757000464, -106.13361092099967)"
213028,ENCOMPASS HEALTH REHAB HOSPITAL OF SALISBURY,220 TILGHMAN ROAD,,SALISBURY,MD,21804,Wicomico,(410) 546-4600,3,"Hip or knee replacement, amputation or other bone or joint condition",288,,"220 TILGHMAN ROAD SALISBURY, MD 21804 (38.369158, -75.547549)","(39.29058096400047, -76.60926011099963)"
45T324,REBA MC ENTIRE CTR FOR REHAB,1200 REBA MCENTIRE LANE,,DENISON,TX,75020,Grayson,(903) 416-1010,6,Spinal cord injury (traumatic),less than 11,1,"1200 REBA MCENTIRE LANE DENISON, TX 75020 (33.771045, -96.550808)","(31.827240407000488, -99.42677020599967)"
493027,RIVERSIDE REHABILITATION INSTITUTE,245 CHESAPEAKE AVENUE,,NEWPORT NEWS,VA,23607,Newport News City,(757) 928-8100,3,Stroke,182,,"245 CHESAPEAKE AVENUE NEWPORT NEWS, VA 23607 (36.984799, -76.393504)","(37.54268067400045, -78.45789046299967)"
05T060,LEON S PETERS REHABILATION,2823 FRESNO ST,,FRESNO,CA,93721,Fresno,(559) 459-6405,9,All other conditions,49,,"2823 FRESNO ST FRESNO, CA 93721 (36.742583, -119.783023)","(37.63864012300047, -120.99999953799971)"
39T028,UPMC MERCY,1400 LOCUST STREET,,PITTSBURGH,PA,15219,Allegheny,(412) 443-4180,3,Brain disease or condition (non-traumatic),73,,"1400 LOCUST STREET PITTSBURGH, PA 15219 (40.436831, -79.985623)","(40.79373015200048, -77.86070029399963)"
45T231,BSA HEALTH SYSTEM,1600 WALLACE BLVD,,AMARILLO,TX,79106,Potter,(806) 212-2000,6,Brain disease or condition (non-traumatic),20,,"1600 WALLACE BLVD AMARILLO, TX 79106 (35.195115, -101.91885)","(31.827240407000488, -99.42677020599967)"
23T141,MCLAREN REGIONAL MEDICAL CENTER,401 SOUTH BALLENGER HIGHWAY,,FLINT,MI,48532,Genesee,(810) 342-5201,5,Hip or femur fracture,less than 11,1,"401 SOUTH BALLENGER HIGHWAY FLINT, MI 48532 (43.014187, -83.733578)","(44.6613195430005, -84.71439026999968)"
39T231,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,,ABINGTON,PA,19001,Montgomery,(215) 481-2000,3,All other conditions,49,,"1200 OLD YORK ROAD ABINGTON, PA 19001 (40.118945, -75.119382)","(40.79373015200048, -77.86070029399963)"
23T047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE ROAD,,CLINTON TOWNSHIP,MI,48038,Macomb,(586) 263-2489,5,Nervous system disorder (excluding stroke),64,,"15855 NINETEEN MILE ROAD CLINTON TOWNSHIP, MI 48038 (42.612671, -82.963405)","(44.6613195430005, -84.71439026999968)"
19T025,SAVOY MEDICAL CENTER,801 POINCIANA AVE,,MAMOU,LA,70554,Evangeline,(337) 468-0281,6,Brain disease or condition (non-traumatic),less than 11,1,"801 POINCIANA AVE MAMOU, LA 70554 (30.641032, -92.417605)","(31.31266064400046, -92.44568007099969)"
10T002,BETHESDA MEMORIAL HOSPITAL,2815 SOUTH SEACREST BLVD,,BOYNTON BEACH,FL,33435,Palm Beach,(561) 737-7733,4,"Hip or knee replacement, amputation or other bone or joint condition",102,,"2815 SOUTH SEACREST BLVD BOYNTON BEACH, FL 33435 (26.50404, -80.06868)","(28.932040377000476, -81.92896053899966)"
29T022,DESERT SPRINGS ACUTE REHABILITATION,2075 E FLAMINGO ROAD,,LAS VEGAS,NV,89135,Clark,(702) 369-7606,9,Spinal cord disease or condition (non-traumatic),less than 11,1,"2075 E FLAMINGO ROAD LAS VEGAS, NV 89135 (36.114561, -115.125548)","(39.493240390000494, -117.07184056399967)"
05T625,CEDARS-SINAI MEDICAL CENTER,8700 BEVERLY BLVD,,LOS ANGELES,CA,90048,Los Angeles,(310) 423-4255,9,Spinal cord injury (traumatic),Not Available,2,"8700 BEVERLY BLVD LOS ANGELES, CA 90048 (34.075496, -118.380122)","(37.63864012300047, -120.99999953799971)"
09T001,THE GEORGE WASHINGTON UNIV HOSP,900 23RD ST NW,,WASHINGTON,DC,20037,District Of Columbia,(202) 715-4843,3,All other conditions,29,,"900 23RD ST NW WASHINGTON, DC 20037 (38.901169, -77.050119)","(38.89037138500049, -77.03196112699965)"
10T223,FORT WALTON BEACH MEDICAL CENTER,1000 MAR WALT DRIVE,,FORT WALTON BEACH,FL,32547,Okaloosa,(850) 443-0878,4,Hip or femur fracture,52,,"1000 MAR WALT DRIVE FORT WALTON BEACH, FL 32547 (30.454676, -86.632069)","(28.932040377000476, -81.92896053899966)"
36T172,MERCY REGIONAL MEDICAL CENTER,3700 KOLBE ROAD,,LORAIN,OH,44053,Lorain,(440) 960-3952,5,Spinal cord injury (traumatic),less than 11,1,"3700 KOLBE ROAD LORAIN, OH 44053 (41.436002, -82.235212)","(40.06021014100048, -82.40426005599966)"
